username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,nb_gcc_error,quantite
WDR4346A,157,40,11585.984783439491,18,6,0.3333333333333333,8.527559055118111
LWD4399A,43,206,56402.92374418603,2,4,0.0,72.33333333333333
DRT3715A,1,0,0.0,0,0,0.0,0.0
RGN4429A,323,255,9381.644727554181,33,45,0.7674418604651163,4.365269461077844
jzh4178a,157,89,11579.274152866243,18,16,1.0,4.7727272727272725
WWK3556A,5,0,605247.0048,0,0,0.0,0.0
LMN3783A,1,0,0.0,0,0,0.0,0.0
DLL4509A,151,127,20064.394059602648,17,4,0.0,4.925233644859813
kwb3565a,1,0,0.0,0,0,0.0,0.0
GRN4091A,8,0,24.830375000000004,0,0,0.0,0.0
PLM4280A,98,19,30931.06919387756,12,4,0.7727272727272727,11.096774193548388
MDM4166A,406,199,1497.5338571428572,61,8,0.9285714285714286,3.888111888111888
CSM4205A,68,80,35.775161764705864,25,0,0.0,2.7096774193548385
pcd4177a,598,269,6384.194730769222,107,34,0.8846153846153846,3.1379310344827585
PCD4177A,4,0,364.28225000000003,0,0,0.0,0.0
ptx4260a,483,225,6274.27356521739,100,44,0.8222222222222222,3.7690058479532165
HCK4262A,4,0,605271.962,0,0,1.0,0.0
bnf3924a,35,52,42.64151428571429,2,0,0.0,7.8076923076923075
nrs3961a,65,61,55888.92850769231,14,5,0.0,6.142857142857143
rsn3979a,156,45,19406.853275641024,24,9,1.0,5.739130434782608
GRV3957B,102,40,29678.89101960784,31,8,0.8,10.679245283018869
FJL3780A,213,148,2852.9440187793416,35,9,1.0,6.87719298245614
bds3425a,327,28,12305.852495412837,52,10,0.6,3.0902527075812274
SZP3877A,1169,1210,3486.8341856287466,234,85,0.8157894736842105,6.8231292517006805
PRC3653A,9,0,403845.6548888889,0,0,0.0,0.0
MRC4302A,651,548,3728.868107526883,105,73,0.6136363636363636,4.0
FXC4501A,9,0,318.8803333333333,0,0,1.0,0.0
BNL4208A,1052,903,3321.135843155892,199,71,0.5517241379310345,4.585476550680787
SDS2537A,42,17,100922.23554761906,14,3,0.25,20.384615384615383
mll1140a,321,206,13207.012118380062,44,43,0.9295774647887324,5.318681318681318
LMN4243A,7,0,345922.03885714285,0,0,0.0,0.0
gnc4265a,51,37,61.81190196078432,13,8,1.0,3.6666666666666665
prc3653a,10,2,93.9155,3,1,0.0,107.0
lnl4324a,389,281,5894.725850899745,92,20,1.0,4.602996254681648
bbl4356a,838,329,3618.5043341288806,149,66,0.7777777777777778,2.8566929133858268
mhn3989a,81,94,52.89609876543207,23,1,0.0,4.666666666666667
LRS3532A,217,288,2807.648677419355,29,15,0.6875,5.220588235294118
DRP4283A,1242,439,1467.6320668276974,158,90,0.8974358974358975,3.1352235550708834
NGV4299A,232,159,18277.75662068966,70,19,0.0,12.147727272727273
nrm4206a,65,40,48.98240000000001,18,6,0.7777777777777778,2.891891891891892
dsf3927b,384,402,7896.300208333333,80,50,0.71875,5.611650485436893
SLN4384A,675,567,3595.4075748148125,141,12,0.8571428571428571,5.319626168224299
cmf4263a,1518,526,2639.5194703557327,374,133,0.5145631067961165,4.264035087719298
MNF4376A,118,68,15441.623194915255,26,4,0.5,6.712121212121212
