username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,nb_gcc_error,quantite,cluster
SZP3877A,1169,1210,3486.8341856287466,234,85,0.8157894736842105,6.8231292517006805,1
MRC4302A,651,548,3728.868107526883,105,73,0.6136363636363636,4.0,1
BNL4208A,1052,903,3321.135843155892,199,71,0.5517241379310345,4.585476550680787,1
bbl4356a,838,329,3618.5043341288806,149,66,0.7777777777777778,2.8566929133858268,1
DRP4283A,1242,439,1467.6320668276974,158,90,0.8974358974358975,3.135223555070884,1
SLN4384A,675,567,3595.4075748148125,141,12,0.8571428571428571,5.319626168224299,1
cmf4263a,1518,526,2639.5194703557327,374,133,0.5145631067961165,4.264035087719298,1
LSJ4420A,1219,872,3478.0874733388014,241,89,0.654320987654321,4.604004449388209,1
CRJ3957A,881,514,4433.905439273549,209,114,0.4736842105263157,4.576763485477178,1
MLJ4320A,818,455,3703.263352078236,207,33,0.5,4.337760910815939,1
LFL3795A,713,316,5699.125088359047,150,60,0.7058823529411765,5.735042735042735,1
RNC4399A,1434,1032,2113.827633891212,232,181,0.4744525547445255,4.31359649122807,1
LMT4343A,785,699,5401.49572229299,158,89,0.7,4.805755395683454,1
MND3971A,771,717,5214.593704280151,259,48,0.4736842105263157,3.9448979591836735,1
CBR4247A,794,684,3816.133677581864,125,91,0.723404255319149,4.10062893081761,1
ZBH4468A,910,342,4363.396795604395,202,40,0.5666666666666667,4.270976616231087,1
MHN4170A,782,366,3878.61630179028,201,56,0.9607843137254902,4.198568872987478,1
ngp4334a,1460,1223,2621.1540089041123,355,163,0.6075949367088608,4.4980506822612085,1
phj4176a,725,519,4183.583877241378,106,56,0.631578947368421,3.582150101419878,1
BRT4241A,806,326,4993.058909429281,199,42,0.6666666666666666,4.231040564373898,1
drr3096a,669,422,4532.284016442454,122,34,0.5555555555555556,4.414027149321267,1
CMX4056A,1366,1788,2946.8751339677874,139,100,0.9574468085106383,2.6957026713124272,1
DSN4384A,1222,706,3278.416411620296,279,141,0.5217391304347826,4.456760048721072,1
LCB4176A,1443,845,2773.7934982675,321,127,0.5754716981132075,3.101178781925344,1
scg3560a,908,371,3998.2944306167383,182,71,0.7843137254901961,3.518292682926829,1
tsn4383a,940,485,3220.8707914893625,238,69,0.6739130434782609,4.844137931034483,1
