username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,cluster
MHN4170A,782,366,3878.61630179028,407,56,2
MRC4302A,651,548,3728.868107526883,197,73,2
pcd4177a,598,269,6384.194730769222,171,34,2
frl4491a,500,309,4849.458863999999,151,21,2
drr3096a,669,422,4532.284016442454,209,34,2
phj4176a,725,519,4183.583877241378,230,56,2
dsf3927b,384,402,7896.300208333333,116,50,2
dmm3793a,432,223,7013.010053240747,101,49,2
MLJ4320A,818,455,3703.263352078236,370,33,2
LMT4343A,785,699,5401.49572229299,194,89,2
CBR4247A,794,684,3816.133677581864,312,91,2
CRJ3957A,881,514,4433.905439273549,252,114,2
DRP4283A,1242,439,1467.6320668276974,280,90,2
ZBH4468A,910,342,4363.396795604395,374,40,2
PHJ4176A,610,275,4963.552221311473,148,49,2
BRT4241A,806,326,4993.058909429281,335,42,2
scg3560a,908,371,3998.2944306167383,288,71,2
VSL4346A,392,198,10252.8116377551,162,50,2
SLN4384A,675,567,3595.4075748148125,226,12,2
LFL3795A,713,316,5699.125088359047,186,60,2
tsn4383a,940,485,3220.8707914893625,338,69,2
ptx4260a,483,225,6274.27356521739,173,44,2
MND3971A,771,717,5214.593704280151,411,48,2
BDN4438A,388,224,6245.710775773195,89,57,2
LHB3409A,541,228,5602.543756007389,110,68,2
bbl4356a,838,329,3618.5043341288806,225,66,2
BCB4249A,413,250,1474.7691476997595,142,50,2
