username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,nb_gcc_error,quantite
LMN4243A,7,0,345922.03885714285,0,0,0.0,0.0
zzn4362a,3,0,807648.6116666667,0,0,0.4,0.0
PRC3653A,9,0,403845.6548888889,0,0,0.0,0.0
HCK4262A,4,0,605271.962,0,0,1.0,0.0
CJV4447A,2,0,301666.3365,0,0,0.0,0.0
GVT3906A,8,0,302614.72975,0,0,0.0,0.0
DVL3733A,2,0,301782.442,0,0,0.0,0.0
WWK3556A,5,0,605247.0048,0,0,0.0,0.0
kcr4364a,2,0,910250.3425,0,0,0.0,0.0
pmg3834a,7,0,518656.4095714285,0,0,0.0,0.0
BRB4393A,2,0,302795.911,0,0,0.0,0.0
